sample-1,,sample -2,,sample-3,,sample-4,
var,logFC,var,logFC,var,logFC,var,logFC
hsa-miR-6825-5p,-0.007426664,hsa-miR-1343-5p,0.007252124,hsa-miR-3614-5p,0.01929461,hsa-miR-6751-3p,-0.022900832
hsa-miR-6736-5p,0.007536247,hsa-miR-3679-3p,0.007371299,hsa-miR-6760-3p,0.017622502,hsa-miR-1909-5p,-0.00943951
hsa-miR-6739-5p,-0.024644729,hsa-miR-144-3p,-0.097846245,hsa-miR-7108-3p,0.014832027,hsa-miR-6736-5p,0.007917463
hsa-miR-411-3p,-0.00655275,hsa-miR-663a,-0.009189691,hsa-miR-1181,0.026643602,hsa-miR-3622b-3p,-0.007650133
hsa-miR-3621,-0.007957815,hsa-miR-3925-3p,-0.005418376,hsa-miR-4649-3p,0.02560403,hsa-miR-6743-5p,-0.00918676
hsa-miR-3135b,-0.04687836,hsa-miR-1204,0.005773671,hsa-miR-4455,0.068001458,hsa-miR-6781-5p,-0.007645574
hsa-miR-6509-3p,0.007261616,hsa-miR-3622b-3p,-0.005794938,hsa-miR-296-5p,-0.014204059,hsa-miR-1261,-0.00917779
hsa-miR-550a-3-5p,-0.055799306,hsa-miR-6886-3p,0.011152153,hsa-miR-3162-3p,0.033894544,hsa-miR-8087,-0.007201719
hsa-miR-3622a-3p,-0.006755248,hsa-miR-4740-3p,-0.005920947,hsa-miR-6877-3p,0.01737262,hsa-miR-3614-5p,-0.011708333
hsa-miR-1909-5p,-0.008474647,hsa-miR-34a-5p,0.008009979,hsa-miR-4294,0.01132118,hsa-miR-486-5p,-0.080839371
hsa-miR-576-5p,0.008020872,hsa-miR-6763-3p,0.008902906,hsa-miR-4665-3p,0.031260397,hsa-miR-6867-5p,-0.012557955
hsa-miR-6751-3p,-0.019999864,hsa-miR-4653-3p,-0.01985808,hsa-miR-3613-3p,0.023021999,hsa-miR-6736-3p,0.007119531
hsa-miR-518a-5p,0.007601972,hsa-miR-551b-3p,0.005227352,hsa-miR-6779-3p,0.013548083,hsa-miR-516b-5p,-0.008861739
hsa-miR-18a-3p,-0.007330732,hsa-miR-26a-2-3p,0.005972363,hsa-miR-6747-5p,0.012049071,hsa-miR-1273d,-0.008794211
hsa-miR-195-3p,-0.009301105,hsa-miR-196a-5p,0.015404165,hsa-miR-665,0.012600568,hsa-miR-6871-5p,0.00824766
hsa-miR-23b-5p,-0.007036944,hsa-miR-6736-3p,-0.005244876,hsa-miR-4646-3p,0.015130756,hsa-miR-8071,0.017212885
hsa-miR-8078,0.007638833,hsa-miR-6892-5p,-0.006200488,hsa-miR-670-5p,0.012899653,hsa-miR-6846-5p,-0.008569482
hsa-miR-8063,-0.019962187,hsa-miR-6786-5p,0.011601473,hsa-miR-425-3p,0.025501185,hsa-miR-1914-5p,0.006994458
hsa-miR-4749-5p,-0.006869722,hsa-miR-19a-3p,-0.039481838,hsa-miR-6824-5p,-0.010842323,hsa-miR-378d,-0.01364411
hsa-miR-4793-3p,-0.011572356,hsa-miR-5010-3p,-0.010808536,hsa-miR-6884-3p,0.013929801,hsa-miR-346,0.007163176
hsa-miR-3148,-0.011499953,hsa-miR-4694-3p,-0.007024379,hsa-miR-6769b-3p,0.013918394,hsa-miR-30e-3p,0.020342603
hsa-miR-2277-3p,-0.007926105,hsa-miR-4687-3p,0.028196729,hsa-miR-6797-3p,0.02411594,hsa-miR-574-5p,-0.06523423
hsa-miR-574-5p,-0.058505194,hsa-miR-129-2-3p,0.008275198,hsa-miR-3682-3p,0.016983191,hsa-miR-4725-5p,0.014379224
hsa-miR-4743-5p,0.008582026,hsa-miR-200c-3p,0.009827274,hsa-let-7f-1-3p,0.020687535,hsa-miR-449c-3p,-0.010704443
hsa-miR-4324,0.006892157,hsa-miR-30e-5p,-0.030421606,hsa-miR-6815-3p,-0.011163617,hsa-miR-3591-3p,-0.019269855
hsa-miR-210-3p,-0.039032543,hsa-miR-6785-5p,0.05127724,hsa-miR-8069,0.074732503,hsa-miR-5699-5p,0.020439346
hsa-miR-6803-3p,-0.01767313,hsa-miR-26b-3p,0.004838016,hsa-miR-32-3p,0.027087688,hsa-miR-640,0.006568322
hsa-miR-1469,0.007904912,hsa-miR-4327,0.006415177,hsa-miR-181a-5p,0.099236671,hsa-miR-6870-5p,-0.007793918
hsa-miR-6748-5p,0.006752491,hsa-miR-3180-3p,0.030331403,hsa-miR-5585-3p,0.044317881,hsa-miR-5194,-0.013275533
